batch,first_replica,samples,t,o1_primal_cross,o1_primal_both,o1_primal_either,o1_primal_direction_0,o1_primal_direction_1,o1_matching_cross,o1_matching_both,o1_matching_either,o1_matching_direction_0,o1_matching_direction_1,o2_primal_cross,o2_primal_both,o2_primal_either,o2_primal_direction_0,o2_primal_direction_1,o2_matching_cross,o2_matching_both,o2_matching_either,o2_matching_direction_0,o2_matching_direction_1
0,0,10000,1,3117,3511,6874,5192,5193,3126,3520,6883,5201,5202,3092,3468,6944,5186,5226,3056,3432,6908,5150,5190
1,10000,10000,1,3126,3498,6828,5163,5163,3172,3544,6874,5209,5209,3047,3445,6782,5102,5125,3218,3616,6953,5273,5296
2,20000,10000,1,3149,3554,6897,5255,5196,3103,3508,6851,5209,5150,3101,3482,6984,5237,5229,3016,3397,6899,5152,5144
3,30000,10000,1,3119,3547,6924,5280,5191,3076,3504,6881,5237,5148,3172,3617,6909,5275,5251,3091,3536,6828,5194,5170
4,40000,10000,1,3179,3544,6934,5251,5227,3066,3431,6821,5138,5114,3138,3534,6866,5202,5198,3134,3530,6862,5198,5194
5,50000,10000,1,3110,3500,6815,5169,5146,3185,3575,6890,5244,5221,3115,3485,6888,5219,5154,3112,3482,6885,5216,5151
6,60000,10000,1,3118,3488,6839,5123,5204,3161,3531,6882,5166,5247,3184,3613,6925,5211,5327,3075,3504,6816,5102,5218
7,70000,10000,1,3155,3557,6943,5298,5202,3057,3459,6845,5200,5104,3154,3533,6914,5224,5223,3086,3465,6846,5156,5155
8,80000,10000,1,3106,3502,6817,5160,5159,3183,3579,6894,5237,5236,3194,3607,6924,5303,5228,3076,3489,6806,5185,5110
9,90000,10000,1,3107,3507,6855,5191,5171,3145,3545,6893,5229,5209,3108,3537,6909,5198,5248,3091,3520,6892,5181,5231
10,100000,10000,1,3110,3484,6850,5154,5180,3150,3524,6890,5194,5220,3057,3438,6881,5146,5173,3119,3500,6943,5208,5235
11,110000,10000,1,3064,3512,6938,5197,5253,3062,3510,6936,5195,5251,3115,3526,6927,5188,5265,3073,3484,6885,5146,5223
12,120000,10000,1,3116,3517,6904,5244,5177,3096,3497,6884,5224,5157,3098,3491,6912,5200,5203,3088,3481,6902,5190,5193
13,130000,10000,1,3088,3453,6833,5175,5111,3167,3532,6912,5254,5190,3045,3428,6829,5130,5127,3171,3554,6955,5256,5253
14,140000,10000,1,3122,3512,6893,5245,5160,3107,3497,6878,5230,5145,3163,3536,6880,5186,5230,3120,3493,6837,5143,5187
15,150000,10000,1,3142,3546,6927,5224,5249,3073,3477,6858,5155,5180,3172,3587,6937,5258,5266,3063,3478,6828,5149,5157
16,160000,10000,1,3198,3627,6890,5262,5255,3110,3539,6802,5174,5167,3067,3491,6882,5179,5194,3118,3542,6933,5230,5245
17,170000,10000,1,3119,3492,6854,5173,5173,3146,3519,6881,5200,5200,3130,3511,6879,5170,5220,3121,3502,6870,5161,5211
18,180000,10000,1,3106,3492,6844,5136,5200,3156,3542,6894,5186,5250,3124,3532,6889,5245,5176,3111,3519,6876,5232,5163
19,190000,10000,1,3074,3490,6875,5211,5154,3125,3541,6926,5262,5205,3115,3497,6873,5167,5203,3127,3509,6885,5179,5215
