k,g,q,count
0,0,-1,1
1,2,-1,25
2,4,-1,300
3,6,-1,2300
4,6,-1,25
4,8,-1,12625
5,8,-1,525
5,9,0,10
5,10,-1,52595
6,8,-1,50
6,10,-1,5150
6,11,0,200
6,12,-1,171700
7,10,-1,1000
7,11,0,100
7,12,-1,31150
7,13,0,1900
7,14,-1,446550
8,10,-1,150
8,11,0,100
8,12,-1,9100
8,13,0,1700
8,14,-1,129100
8,15,0,11200
8,16,-1,930225
9,10,-1,25
9,11,0,100
9,12,-1,2550
9,13,0,1850
9,14,-1,49550
9,15,0,13450
9,16,-1,384825
9,16,1,25
9,17,0,45200
9,18,-1,1545400
10,9,0,10
10,12,-1,800
10,13,0,2200
10,14,-1,18900
10,15,0,15100
10,16,-1,178700
10,16,1,100
10,17,0,64860
10,18,-1,840550
10,18,1,500
10,19,0,131110
10,20,-1,2015930
11,11,0,150
11,12,-1,200
11,13,0,1150
11,14,-1,7750
11,15,0,18700
11,16,-1,80850
11,16,1,350
11,17,0,73250
11,18,-1,444150
11,18,1,1800
11,19,0,211700
11,20,-1,1336800
11,20,1,4250
11,21,0,276400
11,22,-1,1999900
12,11,0,100
12,12,-1,50
12,13,0,1650
12,14,-1,2925
12,15,0,14700
12,16,-1,37025
12,16,1,1000
12,17,0,87150
12,18,-1,219950
12,18,1,5000
12,19,0,238500
12,20,-1,755325
12,20,1,14825
12,21,0,477250
12,22,-1,1493225
12,22,1,19300
12,23,0,409750
12,24,-1,1422575
13,11,0,100
13,13,0,1450
13,14,-1,1100
13,14,1,50
13,15,0,14750
13,16,-1,15650
13,16,1,2125
13,17,0,75750
13,18,-1,103475
13,18,1,11900
13,19,0,263150
13,20,-1,377800
13,20,1,34750
13,21,0,518400
13,22,-1,832700
13,22,1,64375
13,23,0,709300
13,24,-1,1081000
13,24,1,49000
13,25,0,387850
13,26,-1,655625
14,11,0,100
14,13,0,1400
14,14,-1,350
14,14,1,200
14,15,0,12700
14,16,-1,5950
14,16,1,4400
14,17,0,68500
14,18,-1,43750
14,18,1,21200
14,19,0,222350
14,20,-1,165750
14,20,1,69400
14,21,0,505850
14,22,-1,375850
14,22,1,127850
14,23,0,685450
14,24,-1,529350
14,24,1,150600
14,25,0,604950
14,26,-1,437050
14,26,1,59200
14,27,0,200150
14,28,-1,165050
15,9,0,10
15,13,0,1700
15,14,-1,100
15,14,1,700
15,15,0,10250
15,16,-1,1850
15,16,1,7150
15,17,0,53960
15,18,-1,15550
15,18,1,36150
15,19,0,176310
15,20,-1,59750
15,20,1,103100
15,21,0,367750
15,22,-1,133050
15,22,1,209600
15,23,0,524600
15,24,-1,181250
15,24,1,234850
15,25,0,449700
15,26,-1,155350
15,26,1,147650
15,27,0,234750
15,28,-1,75100
15,28,1,28650
15,29,0,42030
15,30,-1,17850
16,11,0,100
16,12,1,25
16,13,0,1150
16,14,-1,25
16,14,1,1600
16,15,0,9100
16,16,-1,400
16,16,1,11350
16,17,0,37350
16,18,-1,4000
16,18,1,49850
16,19,0,115900
16,20,-1,16200
16,20,1,139325
16,21,0,214950
16,22,-1,32425
16,22,1,245350
16,23,0,270950
16,24,-1,39825
16,24,1,261225
16,25,0,213800
16,26,-1,31000
16,26,1,150825
16,27,0,101000
16,28,-1,14050
16,28,1,44800
16,29,0,26900
16,30,-1,3350
16,30,1,2700
16,31,0,3150
16,32,-1,300
17,11,0,100
17,12,1,150
17,13,0,1000
17,14,1,2975
17,15,0,6500
17,16,-1,25
17,16,1,15800
17,17,0,22900
17,18,-1,700
17,18,1,63450
17,19,0,58100
17,20,-1,2100
17,20,1,150675
17,21,0,88150
17,22,-1,5000
17,22,1,213500
17,23,0,87250
17,24,-1,4225
17,24,1,178025
17,25,0,51500
17,26,-1,3250
17,26,1,80550
17,27,0,20650
17,28,-1,600
17,28,1,17750
17,29,0,4200
17,30,1,2150
17,31,0,200
17,32,1,100
18,11,0,100
18,12,1,550
18,13,0,750
18,14,1,4150
18,15,0,3950
18,16,1,21900
18,17,0,9750
18,18,1,67950
18,19,0,19750
18,20,1,119000
18,21,0,19050
18,22,-1,450
18,22,1,116250
18,23,0,12800
18,24,-1,100
18,24,1,59600
18,25,0,6200
18,26,1,15900
18,27,0,350
18,28,1,2150
19,10,1,50
19,11,0,100
19,12,1,1000
19,13,0,400
19,14,1,6300
19,15,0,1350
19,16,1,25500
19,17,0,2800
19,18,1,51800
19,19,0,1750
19,20,1,52250
19,21,0,2500
19,22,1,25400
19,23,0,100
19,24,1,5800
20,9,0,10
20,10,1,200
20,12,1,1650
20,13,0,200
20,14,1,8750
20,16,1,18675
20,17,0,300
20,18,1,16900
20,19,0,10
20,20,1,6435
21,8,1,25
21,10,1,450
21,12,1,2875
21,14,1,5475
21,16,1,3825
22,8,1,150
22,10,1,850
22,12,1,1300
23,6,1,50
23,8,1,250
24,4,1,25
25,0,1,1
