k,count,sum_q,sum_e,sum_a4,sum_qa4,sum_ea4
0,1,-1,1,4,-4,4
1,25,-25,25,96,-96,96
2,300,-300,300,1104,-1104,1104
3,2300,-2300,2300,8088,-8088,8088
4,12650,-12650,12650,42336,-42336,42336
5,53130,-53130,53130,168336,-168336,168336
6,177100,-177100,177100,527662,-527662,527662
7,480700,-480450,480450,1335232,-1334592,1334592
8,1081575,-1077525,1077525,2769326,-2759742,2759742
9,2042975,-2012075,2012075,4749984,-4682984,4682984
10,3268760,-3121160,3121560,6763428,-6474528,6475312
11,4457400,-3964900,3973700,7989472,-7138296,7153000
12,5200300,-3991100,4063200,7798422,-6007942,6110750
13,5200300,-2960450,3280550,6260096,-3529712,3910928
14,4457400,-1296800,2174500,4126380,-1108228,1945252
15,3268760,136400,1415400,2236972,177260,939508
16,2042975,763325,1046175,994574,409432,513624
17,1081575,698675,731675,357712,240568,247128
18,480700,398500,400100,101572,85660,85756
19,177100,164850,164850,21944,20592,20592
20,53130,51980,51980,3396,3340,3340
21,12650,12600,12600,336,336,336
22,2300,2300,2300,16,16,16
23,300,300,300,0,0,0
24,25,25,25,0,0,0
25,1,1,1,0,0,0
