K,q,count,sum_S
0,-1,1,51
1,-1,25,1200
2,-1,300,13500
3,-1,2300,96600
4,-1,12650,493400
5,-1,53130,1913730
6,-1,177100,5854800
7,-1,480450,14480000
7,0,250,7750
8,-1,1077525,29391475
8,0,4050,114400
9,-1,2012075,49291150
9,0,30900,789400
10,-1,3121360,68132660
10,0,147200,3373600
10,1,200,4600
11,-1,3969300,76610800
11,0,483700,9868300
11,1,4400,89900
12,-1,4027150,68308900
12,0,1137100,20524400
12,1,36050,654150
13,-1,3120500,46430250
13,0,1919750,30590250
13,1,160050,2571750
14,-1,1735650,22817050
14,0,2282900,32339500
14,1,438850,6259050
15,-1,639500,7598800
15,0,1853360,23852720
15,1,775900,10001600
16,-1,141425,1586525
16,0,996800,12126600
16,1,904750,10917600
17,-1,16500,184850
17,0,349900,4243100
17,1,715175,8472550
18,-1,800,9200
18,0,80600,1024700
18,1,399300,4875600
19,0,12250,168750
19,1,164850,2155400
20,0,1150,17500
20,1,51980,746180
21,0,50,850
21,1,12600,201650
22,1,2300,41400
23,1,300,6100
24,1,25,575
25,1,1,26
