k,count,sum_Sdef_qintact,sum_Sdef_Eintact
0,1,-29,29
1,25,-650,650
2,300,-6992,6992
3,2300,-48116,48116
4,12650,-237428,237428
5,53130,-888138,888138
6,177100,-2582866,2582866
7,480700,-5831968,5854224
8,1081575,-9836501,10279081
9,2042975,-10834722,14569658
10,3268760,-2617214,20019330
11,4457400,18425372,32174628
12,5200300,47183848,52680204
13,5200300,70882260,72248420
14,4457400,78480998,78665222
15,3268760,68691030,68700310
16,2042975,49021951,49021951
17,1081575,28907952,28907952
18,480700,14112524,14112524
19,177100,5663132,5663132
20,53130,1839306,1839306
21,12650,471640,471640
22,2300,91908,91908
23,300,12792,12792
24,25,1133,1133
25,1,48,48
