k,count,sum_q,sum_e,sum_G16,sum_G16_q,sum_G16_E,nonzero_G16_count,sum_G16_contact,sum_G16_q_contact,sum_G16_E_contact
0,1,-1,1,0,0,0,0,0,0,0
1,24,-24,24,0,0,0,0,0,0,0
2,276,-276,276,48,-48,48,12,32,-32,32
3,2024,-2024,2024,1008,-1008,1008,236,672,-672,672
4,10626,-10626,10626,10080,-10080,10080,2209,6720,-6720,6720
5,42504,-42504,42504,64432,-64432,64432,13108,42752,-42752,42752
6,134596,-134596,134596,296496,-296496,296496,55340,194752,-194752,194752
7,346104,-345924,345924,1044416,-1043936,1043936,176648,676704,-676224,676224
8,735471,-732717,732717,2916616,-2908776,2908776,441862,1861864,-1854344,1854344
9,1307504,-1287728,1287728,6586536,-6521032,6521032,884856,4146052,-4086916,4086916
10,1961256,-1872696,1872936,12118692,-11759956,11761364,1434794,7545300,-7241220,7242628
11,2496144,-2220344,2225272,18047784,-16687312,16711760,1890004,11196168,-10099920,10124176
12,2704156,-2075372,2112864,21283076,-17662512,17840976,2017047,13361692,-10546372,10718116
13,2496144,-1421016,1574664,19258572,-12541576,13292616,1734420,12574308,-7445716,8137460
14,1961256,-570592,956780,13134144,-4702172,6659036,1196268,9217144,-2726328,4446328
15,1307504,54560,566160,6887968,135740,2803940,660480,5283640,337184,2190208
16,735471,274797,376623,2861508,1095892,1404540,290875,2382588,965896,1207832
17,346104,223576,234136,935964,618276,633092,100460,833752,556544,569696
18,134596,111580,112028,232800,194848,195008,26226,218496,182880,183040
19,42504,39564,39564,41440,38736,38736,4860,40320,37648,37648
20,10626,10396,10396,4704,4624,4624,570,4672,4592,4592
21,2024,2016,2016,256,256,256,32,256,256,256
22,276,276,276,0,0,0,0,0,0,0
23,24,24,24,0,0,0,0,0,0,0
24,1,1,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
