k,count,sum_q,sum_e,sum_G16,sum_G16_q,sum_G16_E,nonzero_G16_count,sum_G16_contact,sum_G16_q_contact,sum_G16_E_contact
0,1,-1,1,0,0,0,0,0,0,0
1,24,-24,24,0,0,0,0,0,0,0
2,276,-276,276,48,-48,48,12,32,-32,32
3,2024,-2024,2024,1008,-1008,1008,236,672,-672,672
4,10626,-10626,10626,9920,-9920,9920,2173,6624,-6624,6624
5,42504,-42504,42504,61248,-61248,61248,12488,40832,-40832,40832
6,134596,-134596,134596,265184,-265184,265184,50292,175776,-175776,175776
7,346104,-345924,345924,848384,-848224,848224,150608,557232,-557072,557072
8,735471,-732717,732717,2056912,-2054160,2054160,346118,1335056,-1332400,1332400
9,1307504,-1287728,1287728,3807712,-3783712,3783712,618880,2438064,-2416528,2416528
10,1961256,-1872696,1872936,5338352,-5218752,5219200,860306,3375696,-3274464,3274912
11,2496144,-2220344,2225272,5538640,-5175536,5181296,916508,3486800,-3191696,3197456
12,2704156,-2075372,2112864,4107792,-3406864,3438352,730027,2635504,-2083216,2114128
13,2496144,-1421016,1574664,2141408,-1295616,1393120,424320,1457824,-796816,888144
14,1961256,-570592,956780,818096,-192064,356512,180642,613952,-111424,258880
15,1307504,54560,566160,247968,44880,97360,58560,205408,42976,83488
16,735471,274797,376623,59632,31632,33744,14556,53216,28720,30576
17,346104,223576,234136,10496,8224,8224,2604,9856,7712,7712
18,134596,111580,112028,1184,1104,1104,296,1152,1072,1072
19,42504,39564,39564,64,64,64,16,64,64,64
20,10626,10396,10396,0,0,0,0,0,0,0
21,2024,2016,2016,0,0,0,0,0,0,0
22,276,276,276,0,0,0,0,0,0,0
23,24,24,24,0,0,0,0,0,0,0
24,1,1,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
