k,count,sum_q,sum_e,sum_G16,sum_G16_q,sum_G16_E,nonzero_G16_count,sum_G16_contact,sum_G16_q_contact,sum_G16_E_contact
0,1,-1,1,0,0,0,0,0,0,0
1,24,-24,24,0,0,0,0,0,0,0
2,276,-276,276,48,-48,48,12,32,-32,32
3,2024,-2024,2024,1008,-1008,1008,236,672,-672,672
4,10626,-10626,10626,9920,-9920,9920,2173,6624,-6624,6624
5,42504,-42496,42496,60608,-60576,60576,12452,40576,-40544,40544
6,134596,-134444,134444,256768,-256256,256256,49770,172448,-171936,171936
7,346104,-344664,344664,797776,-793680,793680,147252,537504,-533440,533440
8,735471,-726631,726631,1875632,-1854032,1854032,333531,1265472,-1244448,1244448
9,1307504,-1268688,1268720,3386096,-3302800,3302864,588132,2277376,-2198944,2199008
10,1961256,-1832568,1833288,4679232,-4437664,4438816,807588,3117792,-2899968,2901120
11,2496144,-2163420,2170588,4825168,-4308976,4317392,847368,3176480,-2732128,2740512
12,2704156,-2023294,2065024,3551216,-2780400,2815088,655031,2329920,-1691936,1725536
13,2496144,-1394472,1550184,1788944,-1028912,1111088,358296,1204480,-590720,668096
14,1961256,-567710,948618,629616,-156752,268976,138422,453920,-70496,172960
15,1307504,51200,563080,170224,20656,60400,40168,134496,25728,47744
16,735471,275571,377505,37216,15744,17472,9124,31776,14720,15488
17,346104,226952,237128,6080,4000,4000,1512,5504,3680,3680
18,134596,113932,114240,640,544,544,160,608,512,512
19,42504,40344,40344,32,32,32,8,32,32,32
20,10626,10522,10522,0,0,0,0,0,0,0
21,2024,2024,2024,0,0,0,0,0,0,0
22,276,276,276,0,0,0,0,0,0,0
23,24,24,24,0,0,0,0,0,0,0
24,1,1,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
