k,count,sum_q,sum_e,sum_G16,sum_G16_q,sum_G16_E,nonzero_G16_count,sum_G16_contact,sum_G16_q_contact,sum_G16_E_contact
0,1,-1,1,0,0,0,0,0,0,0
1,24,-24,24,0,0,0,0,0,0,0
2,276,-276,276,48,-48,48,12,32,-32,32
3,2024,-2024,2024,1008,-1008,1008,236,672,-672,672
4,10626,-10626,10626,9920,-9920,9920,2173,6624,-6624,6624
5,42504,-42504,42504,60896,-60896,60896,12472,40672,-40672,40672
6,134596,-134596,134596,260256,-260256,260256,50060,173536,-173536,173536
7,346104,-345924,345924,816368,-816208,816208,149008,542656,-542496,542496
8,735471,-732717,732717,1928480,-1925760,1925760,339202,1276352,-1273728,1273728
9,1307504,-1287728,1287728,3456448,-3433888,3433888,597932,2275520,-2255168,2255168
10,1961256,-1872696,1872936,4661232,-4554032,4554480,813558,3052928,-2961440,2961888
11,2496144,-2220344,2225272,4620640,-4308576,4314208,838476,3022272,-2766272,2771904
12,2704156,-2075372,2112864,3255024,-2680848,2710416,633761,2154816,-1697888,1727008
13,2496144,-1421016,1574664,1601088,-945632,1030176,341192,1102048,-587456,666944
14,1961256,-570592,956780,573248,-117856,247808,132374,423488,-61088,177440
15,1307504,54560,566160,162576,36016,66352,39268,130240,34176,55616
16,735471,274797,376623,36736,20864,22016,9048,31520,18496,19392
17,346104,223576,234136,6080,4928,4928,1512,5504,4480,4480
18,134596,111580,112028,640,608,608,160,608,576,576
19,42504,39564,39564,32,32,32,8,32,32,32
20,10626,10396,10396,0,0,0,0,0,0,0
21,2024,2016,2016,0,0,0,0,0,0,0
22,276,276,276,0,0,0,0,0,0,0
23,24,24,24,0,0,0,0,0,0,0
24,1,1,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
