k,count,sum_q,sum_e,sum_sstar,sum_qsstar,sum_esstar
0,1,-1,1,29,-29,29
1,25,-25,25,650,-650,650
2,300,-300,300,6992,-6992,6992
3,2300,-2300,2300,48116,-48116,48116
4,12650,-12606,12606,238414,-237542,237542
5,53130,-52110,52110,908662,-890338,890338
6,177100,-166136,166136,2782364,-2602468,2602468
7,480700,-406522,407754,7069066,-5943904,5961248
8,1081575,-732573,758985,15282593,-10283101,10641561
9,2042975,-860385,1095247,28636560,-12102224,15231636
10,3268760,-325354,1433238,46990290,-5197190,20322474
11,4457400,1041616,2093316,67694176,14624040,31039208
12,5200300,2714148,3123512,85364392,43079308,50110176
13,5200300,3816004,3916516,93664334,67586618,69502898
14,4457400,3871260,3885432,88763824,76491500,76792272
15,3268760,3083334,3084238,72098598,67789016,67810472
16,2042975,2000749,2000761,49806997,48721157,48721481
17,1081575,1075135,1075135,29020530,28837842,28837842
18,480700,480132,480132,14120084,14102300,14102300
19,177100,177080,177080,5663132,5662432,5662432
20,53130,53130,53130,1839306,1839306,1839306
21,12650,12650,12650,471640,471640,471640
22,2300,2300,2300,91908,91908,91908
23,300,300,300,12792,12792,12792
24,25,25,25,1133,1133,1133
25,1,1,1,48,48,48
