n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
65,8,1,first,0,50000,0,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,1,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,2,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,3,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,4,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,5,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,6,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,7,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,8,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,9,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,10,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,11,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,12,-50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,13,-50000,50000,1,0,0,1,52,-52,52,52,52,-52,45.6984615384615384615,24.8123076923076923077,-45.6984615384615384615,-24.8123076923076923077,45.6984615384615384615,24.8123076923076923077,52,-52
65,8,1,first,0,50000,14,-49999,49999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,50000,15,-49999,49999,2,0,0,2,100,-100,100,100,100,-100,87.8816568047337278107,47.7159763313609467456,-87.8816568047337278107,-47.7159763313609467456,87.8816568047337278107,47.7159763313609467456,50,-50
65,8,1,first,0,50000,16,-49997,49997,3,0,0,3,147,-147,147,147,147,-147,129.186035502958579882,70.142485207100591716,-129.186035502958579882,-70.142485207100591716,129.186035502958579882,70.142485207100591716,49,-49
65,8,1,first,0,50000,17,-49994,49994,4,0,0,4,192,-192,192,192,192,-192,168.732781065088757396,91.6146745562130177515,-168.732781065088757396,-91.6146745562130177515,168.732781065088757396,91.6146745562130177515,96,-96
65,8,1,first,0,50000,18,-49990,49990,14,0,0,14,658,-658,658,658,658,-658,578.261301775147928994,313.971124260355029586,-578.261301775147928994,-313.971124260355029586,578.261301775147928994,313.971124260355029586,235,-235
65,8,1,first,0,50000,19,-49976,49976,11,0,0,11,506,-506,506,506,506,-506,444.681183431952662722,241.442840236686390533,-444.681183431952662722,-241.442840236686390533,444.681183431952662722,241.442840236686390533,138,-138
65,8,1,first,0,50000,20,-49965,49965,33,0,0,33,1485,-1485,1485,1485,1485,-1485,1305.04260355029585799,708.582248520710059172,-1305.04260355029585799,-708.582248520710059172,1305.04260355029585799,708.582248520710059172,315,-315
65,8,1,first,0,50000,21,-49932,49932,58,0,0,58,2552,-2552,2552,2552,2552,-2552,2165.40402366863905325,1175.72165680473372781,-2165.40402366863905325,-1175.72165680473372781,2165.40402366863905325,1175.72165680473372781,572,-572
65,8,1,first,0,50000,22,-49874,49874,89,0,0,89,3827,-3827,3827,3827,3827,-3827,3363.23100591715976331,1826.09041420118343195,-3363.23100591715976331,-1826.09041420118343195,3363.23100591715976331,1826.09041420118343195,1032,-1032
65,8,1,first,0,50000,23,-49785,49785,161,0,0,161,6762,-6762,6762,6762,6762,-6762,5868.7370414201183432,3186.47289940828402367,-5868.7370414201183432,-3186.47289940828402367,5868.7370414201183432,3186.47289940828402367,2268,-2268
65,8,1,first,0,50000,24,-49624,49624,206,0,0,206,8446,-8446,8446,8446,8446,-8446,7278.35881656804733728,3951.83715976331360947,-7278.35881656804733728,-3951.83715976331360947,7278.35881656804733728,3951.83715976331360947,1558,-1558
65,8,1,first,0,50000,25,-49418,49418,331,0,0,331,13240,-13240,13240,13240,13240,-13240,10932.4781065088757396,5935.86745562130177515,-10932.4781065088757396,-5935.86745562130177515,10932.4781065088757396,5935.86745562130177515,2440,-2440
65,8,1,first,0,50000,26,-49087,49087,488,2,2,488,19110,-18954,19110,18954,19110,-18954,15834.5169230769230769,8597.46461538461538462,-15765.9692307692307692,-8560.24615384615384615,15800.2430769230769231,8578.85538461538461538,1872,-1872
65,8,1,first,0,50000,27,-48597,48601,714,9,9,714,27474,-26790,27474,26790,27474,-26790,21606.5841420118343195,11731.4499408284023669,-21406.2139644970414201,-11622.6575147928994083,21506.3990532544378698,11677.0537278106508876,3724,-3572
65,8,1,first,0,50000,28,-47874,47896,1002,18,18,1002,37740,-36408,37740,36408,37740,-36408,29589.7538461538461538,16065.9692307692307692,-28614.2674556213017751,-15536.3218934911242604,29102.0106508875739645,15801.1455621301775148,4773,-4699
65,8,1,first,0,50000,29,-46854,46912,1394,48,48,1394,51912,-48456,51912,48456,51912,-48456,39103.8220118343195266,21231.7008284023668639,-36509.5555029585798817,-19823.125207100591716,37806.6887573964497041,20527.4130177514792899,8136,-7560
65,8,1,first,0,50000,30,-45412,45566,1919,94,94,1919,70455,-63875,70455,63875,70455,-63875,51828.2071005917159763,28140.4970414201183432,-48137.1775147928994083,-26136.4260355029585799,49982.6923076923076923,27138.4615384615384615,8820,-7840
65,8,1,first,0,50000,31,-43399,43741,2454,178,178,2454,89488,-77384,89488,77384,89488,-77384,62269.4267455621301775,33809.632189349112426,-54919.0049704142011834,-29818.6679289940828402,58594.2158579881656805,31814.1500591715976331,9078,-7718
65,8,1,first,0,50000,32,-40767,41465,3153,408,408,3153,117513,-90585,117513,90585,117513,-90585,77619.2939076923076923,42143.9527384615384615,-63002.8167479289940828,-34207.8315550295857988,70311.0553278106508876,38175.8921467455621302,11418,-8118
65,8,1,first,0,50000,33,-37206,38720,3832,654,654,3832,143552,-101696,143552,101696,143552,-101696,91796.2224852071005917,49876.3739644970414201,-68387.4310059171597633,-37096.490414201183432,80091.8267455621301775,43486.432189349112426,13344,-7840
65,8,1,first,0,50000,34,-32720,35542,4396,1068,1068,4396,169384,-103168,169384,103168,169384,-103168,103231.487413017751479,56016.4133112426035503,-67815.1797207100591716,-36786.8748497041420118,85523.3335668639053254,46401.6440804733727811,13361,-5177
65,8,1,first,0,50000,35,-27256,32214,4936,1636,1636,4936,197160,-99000,197160,99000,197160,-99000,119521.865467455621302,64895.2547218934911243,-63247.3084970414201183,-34406.122792899408284,91384.5869822485207101,49650.6887573964497041,10830,-2730
65,8,1,first,0,50000,36,-20684,28914,5012,2427,2427,5012,215731,-74965,215731,74965,215731,-74965,127750.509794082840237,69394.735185798816568,-45572.3796733727810651,-24838.8875360946745562,86661.4447337278106509,47116.8113609467455621,9425,377
